Index	Chemical_Name	ChEMBL_ID	Pubchem_ID	Uniprot_ID	Protein_Name	Gene_Name	Gene_ID	Confidence_Score	Source_database
6	Semaxanib	CHEMBL276711	5329098	P07949	Proto-oncogene tyrosine-protein kinase receptor Ret 	RET	5979	0.863	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q5S007	Leucine-rich repeat serine/threonine-protein kinase 2 	LRRK2	120892	0.86	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q16584	Mitogen-activated protein kinase kinase kinase 11 	MAP3K11	4296	0.854	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q16620	BDNF/NT-3 growth factors receptor 	NTRK2	4915	0.788	STITCH
6	Semaxanib	CHEMBL276711	5329098	P07333	Macrophage colony-stimulating factor 1 receptor 	CSF1R	1436	0.781	STITCH
6	Semaxanib	CHEMBL276711	5329098	P17948	Vascular endothelial growth factor receptor 1 	FLT1	2321	0.768	STITCH
6	Semaxanib	CHEMBL276711	5329098	P35968	Vascular endothelial growth factor receptor 2 	KDR	3791	0.762	STITCH
6	Semaxanib	CHEMBL276711	5329098	O60285	NUAK family SNF1-like kinase 1 	NUAK1	9891	0.761	STITCH
6	Semaxanib	CHEMBL276711	5329098	P10721	Mast/stem cell growth factor receptor Kit 	KIT	3815	0.751	STITCH
6	Semaxanib	CHEMBL276711	5329098	P29376	Leukocyte tyrosine kinase receptor 	LTK	4058	0.742	STITCH
6	Semaxanib	CHEMBL276711	5329098	P35916	Vascular endothelial growth factor receptor 3 	FLT4	2324	0.704	STITCH
6	Semaxanib	CHEMBL276711	5329098	P09619	Platelet-derived growth factor receptor beta 	PDGFRB	5159	0.675	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q15349	Ribosomal protein S6 kinase alpha-2 	RPS6KA2	6196	0.655	STITCH
6	Semaxanib	CHEMBL276711	5329098	P80192	Mitogen-activated protein kinase kinase kinase 9 	MAP3K9	4293	0.635	STITCH
6	Semaxanib	CHEMBL276711	5329098	P48730	Casein kinase I isoform delta 	CSNK1D	1453	0.62	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q9UK32	Ribosomal protein S6 kinase alpha-6 	RPS6KA6	27330	0.602	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q9Y4K4	Mitogen-activated protein kinase kinase kinase kinase 5 	MAP4K5	11183	0.592	STITCH
6	Semaxanib	CHEMBL276711	5329098	P16234	Platelet-derived growth factor receptor alpha 	PDGFRA	5156	0.56	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q9NWZ3	Interleukin-1 receptor-associated kinase 4 	IRAK4	51135	0.549	STITCH
6	Semaxanib	CHEMBL276711	5329098	P04629	High affinity nerve growth factor receptor 	NTRK1	4914	0.545	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q9H1R3	"Myosin light chain kinase 2, skeletal/cardiac muscle "	MYLK2	85366	0.543	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q15418	Ribosomal protein S6 kinase alpha-1 	RPS6KA1	6195	0.527	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q16816	"Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform "	PHKG1	5260	0.519	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q13043	Serine/threonine-protein kinase 4 	STK4	6789	0.489	STITCH
6	Semaxanib	CHEMBL276711	5329098	P49674	Casein kinase I isoform epsilon 	CSNK1E	102800317	0.48	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q9UM73	ALK tyrosine kinase receptor 	ALK	238	0.475	STITCH
6	Semaxanib	CHEMBL276711	5329098	Q9UQB9	Aurora kinase C 	AURKC	6795	0.473	STITCH
6	Semaxanib	CHEMBL276711	5329098	O95819	Mitogen-activated protein kinase kinase kinase kinase 4 	MAP4K4	9448	0.453	STITCH
6	Semaxanib	CHEMBL276711	5329098	P07947	Tyrosine-protein kinase Yes 	YES1	7525	0.44	STITCH
6	Semaxanib	CHEMBL276711	5329098	P51812	Ribosomal protein S6 kinase alpha-3 	RPS6KA3	6197	0.42	STITCH
7	Azathioprine	CHEMBL1542	2265	P00492	Hypoxanthine-guanine phosphoribosyltransferase	HPRT1	3251	1	DrugBank
7	Azathioprine	CHEMBL1542	2265	P63000	Ras-related C3 botulinum toxin substrate 1	RAC1	5879	1	DrugBank
8	Imipramine	CHEMBL11	3696	O95259	Potassium voltage-gated channel subfamily H member 1	KCNH1	3756	1	DrugBank
8	Imipramine	CHEMBL11	3696	P08172	Muscarinic acetylcholine receptor M2	CHRM2	1129	1	DrugBank
8	Imipramine	CHEMBL11	3696	P08173	Muscarinic acetylcholine receptor M4	CHRM4	1132	1	DrugBank
8	Imipramine	CHEMBL11	3696	P08908	5-hydroxytryptamine receptor 1A	HTR1A	3350	1	DrugBank
8	Imipramine	CHEMBL11	3696	P08912	Muscarinic acetylcholine receptor M5	CHRM5	1133	1	DrugBank
8	Imipramine	CHEMBL11	3696	P11229	Muscarinic acetylcholine receptor M1	CHRM1	1128	1	DrugBank
8	Imipramine	CHEMBL11	3696	P14416	D(2) dopamine receptor	DRD2	1813	1	DrugBank
8	Imipramine	CHEMBL11	3696	P19652	Alpha-1-acid glycoprotein 2	ORM2	5005	1	DrugBank
8	Imipramine	CHEMBL11	3696	P20309	Muscarinic acetylcholine receptor M3	CHRM3	1131	1	DrugBank
8	Imipramine	CHEMBL11	3696	P21728	D(1A) dopamine receptor	DRD1	1812	1	DrugBank
8	Imipramine	CHEMBL11	3696	P21918	D(1B) dopamine receptor	DRD5	1816	1	DrugBank
8	Imipramine	CHEMBL11	3696	P23975	Sodium-dependent noradrenaline transporter	SLC6A2	6530	1	DrugBank
8	Imipramine	CHEMBL11	3696	P25100	Alpha-1D adrenergic receptor	ADRA1D	146	1	DrugBank
8	Imipramine	CHEMBL11	3696	P28223	5-hydroxytryptamine receptor 2A	HTR2A	3356	1	DrugBank
8	Imipramine	CHEMBL11	3696	P28335	5-hydroxytryptamine receptor 2C	HTR2C	3358	1	DrugBank
8	Imipramine	CHEMBL11	3696	P31645	Sodium-dependent serotonin transporter	SLC6A4	6532	1	DrugBank
8	Imipramine	CHEMBL11	3696	P34969	5-hydroxytryptamine receptor 7	HTR7	3363	1	DrugBank
8	Imipramine	CHEMBL11	3696	P35348	Alpha-1A adrenergic receptor	ADRA1A	148	1	DrugBank
8	Imipramine	CHEMBL11	3696	P35367	Histamine H1 receptor	HRH1	3269	1	DrugBank
8	Imipramine	CHEMBL11	3696	P35368	Alpha-1B adrenergic receptor	ADRA1B	147	1	DrugBank
8	Imipramine	CHEMBL11	3696	P50406	5-hydroxytryptamine receptor 6	HTR6	3362	1	DrugBank
8	Imipramine	CHEMBL11	3696	Q01959	Sodium-dependent dopamine transporter	SLC6A3	6531	1	DrugBank
8	Imipramine	CHEMBL11	3696	Q12809	Potassium voltage-gated channel subfamily H member 2	KCNH2	3757	1	DrugBank
8	Imipramine	CHEMBL11	3696	Q9NZV8	Potassium voltage-gated channel subfamily D member 2	KCND2	3751	1	DrugBank
8	Imipramine	CHEMBL11	3696	Q9UK17	Potassium voltage-gated channel subfamily D member 3	KCND3	3752	1	DrugBank
8	Imipramine	CHEMBL11	3696	P0DMS9	Transmembrane domain-containing protein TMIGD3	TMIGD3	57413	0.764	STITCH
8	Imipramine	CHEMBL11	3696	P41595	5-hydroxytryptamine receptor 2B 	HTR2B	3357	0.575	STITCH
8	Imipramine	CHEMBL11	3696	P35462	Dopamine D3 receptor	DRD3	1814	0.513	STITCH
8	Imipramine	CHEMBL11	3696	P30531	Sodium- and chloride-dependent GABA transporter 1 	SLC6A1	6529	0.509	STITCH
8	Imipramine	CHEMBL11	3696	P31641	Sodium- and chloride-dependent taurine transporter 	SLC6A6	6533	0.509	STITCH
8	Imipramine	CHEMBL11	3696	P48029	Sodium- and chloride-dependent creatine transporter 1 	SLC6A8	6535	0.509	STITCH
8	Imipramine	CHEMBL11	3696	P48065	Sodium- and chloride-dependent betaine transporter 	SLC6A12	6539	0.509	STITCH
8	Imipramine	CHEMBL11	3696	P48066	Sodium- and chloride-dependent GABA transporter 3 	SLC6A11	6538	0.509	STITCH
8	Imipramine	CHEMBL11	3696	P48067	Sodium- and chloride-dependent glycine transporter 1 	SLC6A9	6536	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q695T7	Sodium-dependent neutral amino acid transporter B	SLC6A19	340024	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q96N87	Sodium-dependent neutral amino acid transporter B	SLC6A18	348932	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q99884	Sodium-dependent proline transporter 	SLC6A7	6534	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q9GZN6	Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5 	SLC6A16	28968	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q9H1V8	Sodium-dependent neutral amino acid transporter SLC6A17 	SLC6A17	388662	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q9H2J7	Sodium-dependent neutral amino acid transporter B	SLC6A15	55117	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q9NP91	Sodium- and chloride-dependent transporter XTRP3 	SLC6A20	54716	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q9NSD5	Sodium- and chloride-dependent GABA transporter 2 	SLC6A13	6540	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q9UN76	Sodium- and chloride-dependent neutral and basic amino acid transporter B	SLC6A14	11254	0.509	STITCH
8	Imipramine	CHEMBL11	3696	Q9Y345	Sodium- and chloride-dependent glycine transporter 2 	SLC6A5	9152	0.509	STITCH
9	KU-55933	CHEMBL222102	5278396	Q13315	Serine-protein kinase ATM 	ATM	472	0.678	STITCH
10	Mesoridazine	CHEMBL1088	4078	P14416	D(2) dopamine receptor	DRD2	1813	1	DrugBank
10	Mesoridazine	CHEMBL1088	4078	P28223	5-hydroxytryptamine receptor 2A	HTR2A	3356	1	DrugBank
10	Mesoridazine	CHEMBL1088	4078	P28335	5-hydroxytryptamine receptor 2C 	HTR2C	3358	0.74	STITCH
10	Mesoridazine	CHEMBL1088	4078	P50406	5-hydroxytryptamine receptor 6 	HTR6	3362	0.655	STITCH
10	Mesoridazine	CHEMBL1088	4078	P25100	Alpha-1D adrenergic receptor 	ADRA1D	146	0.643	STITCH
10	Mesoridazine	CHEMBL1088	4078	P35348	Alpha-1A adrenergic receptor 	ADRA1A	148	0.643	STITCH
10	Mesoridazine	CHEMBL1088	4078	P35368	Alpha-1B adrenergic receptor 	ADRA1B	147	0.643	STITCH
10	Mesoridazine	CHEMBL1088	4078	P35462	Dopamine D3 receptor	DRD3	1814	0.635	STITCH
10	Mesoridazine	CHEMBL1088	4078	P41595	5-hydroxytryptamine receptor 2B 	HTR2B	3357	0.618	STITCH
10	Mesoridazine	CHEMBL1088	4078	P35367	Histamine H1 receptor 	HRH1	3269	0.577	STITCH
10	Mesoridazine	CHEMBL1088	4078	P08908	5-hydroxytryptamine receptor 1A 	HTR1A	3350	0.56	STITCH
10	Mesoridazine	CHEMBL1088	4078	P21728	Dopamine D1 receptor	DRD1	1812	0.549	STITCH
10	Mesoridazine	CHEMBL1088	4078	P11229	Muscarinic acetylcholine receptor M1	CHRM1	1128	0.517	STITCH
10	Mesoridazine	CHEMBL1088	4078	P08172	Muscarinic acetylcholine receptor M2	CHRM2	1129	0.503	STITCH
10	Mesoridazine	CHEMBL1088	4078	P08173	Muscarinic acetylcholine receptor M4	CHRM4	1132	0.496	STITCH
10	Mesoridazine	CHEMBL1088	4078	P08912	Muscarinic acetylcholine receptor M5	CHRM5	1133	0.486	STITCH
10	Mesoridazine	CHEMBL1088	4078	P20309	Muscarinic acetylcholine receptor M3	CHRM3	1131	0.485	STITCH
10	Mesoridazine	CHEMBL1088	4078	P34969	5-hydroxytryptamine receptor 7 	HTR7	3363	0.482	STITCH
10	Mesoridazine	CHEMBL1088	4078	P28221	5-hydroxytryptamine receptor 1D 	HTR1D	3352	0.457	STITCH
10	Mesoridazine	CHEMBL1088	4078	P28222	5-hydroxytryptamine receptor 1B 	HTR1B	3351	0.457	STITCH
10	Mesoridazine	CHEMBL1088	4078	P28566	5-hydroxytryptamine receptor 1E 	HTR1E	3354	0.457	STITCH
10	Mesoridazine	CHEMBL1088	4078	P30939	5-hydroxytryptamine receptor 1F 	HTR1F	3355	0.457	STITCH
10	Mesoridazine	CHEMBL1088	4078	Q12809	Potassium voltage-gated channel subfamily H member 2 	KCNH2	3757	0.447	STITCH
11	Alisertib	CHEMBL483158	24771867	O14965	Aurora kinase A	AURKA	6790	1	DrugBank
11	Alisertib	CHEMBL483158	24771867	Q96GD4	Aurora kinase B 	AURKB	9212	0.675	STITCH
11	Alisertib	CHEMBL483158	24771867	P29317	Ephrin type-A receptor 2 	EPHA2	1969	0.505	STITCH
11	Alisertib	CHEMBL483158	24771867	P51451	Tyrosine-protein kinase Blk 	BLK	640	0.494	STITCH
11	Alisertib	CHEMBL483158	24771867	O00444	Serine/threonine-protein kinase PLK4 	PLK4	10733	0.494	STITCH
11	Alisertib	CHEMBL483158	24771867	P06239	Tyrosine-protein kinase Lck 	LCK	3932	0.447	STITCH
12	Salmeterol	CHEMBL1263	5152	P08588	Beta-1 adrenergic receptor	ADRB1	153	1	DrugBank
12	Salmeterol	CHEMBL1263	5152	P07550	Beta-2 adrenergic receptor	ADRB2	154	1	DrugBank
12	Salmeterol	CHEMBL1263	5152	P13945	Beta-3 adrenergic receptor	ADRB3	155	1	DrugBank
13	Terbutaline	CHEMBL1760	5403	P08588	Beta-1 adrenergic receptor	ADRB1	153	1	DrugBank
13	Terbutaline	CHEMBL1760	5403	P07550	Beta-2 adrenergic receptor	ADRB2	154	1	DrugBank
13	Terbutaline	CHEMBL1760	5403	P13945	Beta-3 adrenergic receptor	ADRB3	155	1	DrugBank
13	Terbutaline	CHEMBL1760	5403	Q9GZV3	High affinity choline transporter 1 	SLC5A7	60482	0.647	STITCH
14	NBI-27914	CHEMBL45281	176157	P34998	Corticotropin-releasing factor receptor 1 	CRHR1	1394	0.866	STITCH
14	NBI-27914	CHEMBL45281	176157	Q13324	Corticotropin-releasing factor receptor 2 	CRHR2	1395	0.417	STITCH
15	Desoxycorticosterone	CHEMBL1498	6166	P19099	"Cytochrome P450 11B2, mitochondrial "	CYP11B2	1585	0.8	STITCH
15	Desoxycorticosterone	CHEMBL1498	6166	P08235	Mineralocorticoid receptor 	NR3C2	4306	0.8	STITCH
15	Desoxycorticosterone	CHEMBL1498	6166	P41595	5-hydroxytryptamine receptor 2B 	HTR2B	3357	0.732	STITCH
15	Desoxycorticosterone	CHEMBL1498	6166	P28223	5-hydroxytryptamine receptor 2A 	HTR2A	3356	0.651	STITCH
15	Desoxycorticosterone	CHEMBL1498	6166	P28335	5-hydroxytryptamine receptor 2C 	HTR2C	3358	0.635	STITCH
16	GR-127935	CHEMBL15928	107780	P28222	5-hydroxytryptamine receptor 1B 	HTR1B	3351	0.97	STITCH
16	GR-127935	CHEMBL15928	107780	P28221	5-hydroxytryptamine receptor 1D 	HTR1D	3352	0.933	STITCH
16	GR-127935	CHEMBL15928	107780	P28223	5-hydroxytryptamine receptor 2A 	HTR2A	3356	0.754	STITCH
16	GR-127935	CHEMBL15928	107780	P30939	5-hydroxytryptamine receptor 1F 	HTR1F	3355	0.714	STITCH
16	GR-127935	CHEMBL15928	107780	P08908	5-hydroxytryptamine receptor 1A 	HTR1A	3350	0.7	STITCH
16	GR-127935	CHEMBL15928	107780	P28335	5-hydroxytryptamine receptor 2C 	HTR2C	3358	0.681	STITCH
16	GR-127935	CHEMBL15928	107780	P28566	5-hydroxytryptamine receptor 1E 	HTR1E	3354	0.586	STITCH
16	GR-127935	CHEMBL15928	107780	P34969	5-hydroxytryptamine receptor 7 	HTR7	3363	0.417	STITCH
16	GR-127935	CHEMBL15928	107780	P41595	5-hydroxytryptamine receptor 2B 	HTR2B	3357	0.417	STITCH
17	Terfenadine	CHEMBL17157	5405	P20309	Muscarinic acetylcholine receptor M3	CHRM3	1131	1	DrugBank
17	Terfenadine	CHEMBL17157	5405	P08173	Muscarinic acetylcholine receptor M4	CHRM4	1132	1	DrugBank
17	Terfenadine	CHEMBL17157	5405	P11229	Muscarinic acetylcholine receptor M1	CHRM1	1128	1	DrugBank
17	Terfenadine	CHEMBL17157	5405	P08912	Muscarinic acetylcholine receptor M5	CHRM5	1133	1	DrugBank
17	Terfenadine	CHEMBL17157	5405	P08172	Muscarinic acetylcholine receptor M2	CHRM2	1129	1	DrugBank
17	Terfenadine	CHEMBL17157	5405	Q12809	Potassium voltage-gated channel subfamily H member 2	KCNH2	3757	1	DrugBank
17	Terfenadine	CHEMBL17157	5405	P35367	Histamine H1 receptor	HRH1	3269	1	DrugBank
17	Terfenadine	CHEMBL17157	5405	P41595	5-hydroxytryptamine receptor 2B 	HTR2B	3357	0.549	STITCH
17	Terfenadine	CHEMBL17157	5405	P28223	5-hydroxytryptamine receptor 2A 	HTR2A	3356	0.461	STITCH
17	Terfenadine	CHEMBL17157	5405	P08684	Cytochrome P450 3A4 	CYP3A4	1576	0.447	STITCH
17	Terfenadine	CHEMBL17157	5405	Q01959	Sodium-dependent dopamine transporter 	SLC6A3	6531	0.411	STITCH
17	Terfenadine	CHEMBL17157	5405	P08183	Multidrug resistance protein 1 	ABCB1	5243	0.403	STITCH
18	Dactolisib	CHEMBL1879463	11977753	P42336	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform "	PIK3CA	5290	0.717	STITCH
18	Dactolisib	CHEMBL1879463	11977753	P42345	Serine/threonine-protein kinase mTOR 	MTOR	2475	0.697	STITCH
18	Dactolisib	CHEMBL1879463	11977753	P48736	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform "	PIK3CG	5294	0.697	STITCH
18	Dactolisib	CHEMBL1879463	11977753	O00329	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform "	PIK3CD	5293	0.667	STITCH
18	Dactolisib	CHEMBL1879463	11977753	P42338	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform "	PIK3CB	5291	0.6	STITCH
18	Dactolisib	CHEMBL1879463	11977753	Q9HAZ1	Dual specificity protein kinase CLK4 	CLK4	57396	0.505	STITCH
18	Dactolisib	CHEMBL1879463	11977753	Q12851	Mitogen-activated protein kinase kinase kinase kinase 2 	MAP4K2	5871	0.439	STITCH
18	Dactolisib	CHEMBL1879463	11977753	O14757	Serine/threonine-protein kinase Chk1 	CHEK1	1111	0.439	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	Q13255	Metabotropic glutamate receptor 1 	GRM1	2911	0.962	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	P41594	Metabotropic glutamate receptor 5 	GRM5	2915	0.641	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	O00222	Metabotropic glutamate receptor 8 	GRM8	2918	0.486	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	O15303	Metabotropic glutamate receptor 6 	GRM6	2916	0.486	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	Q14416	Metabotropic glutamate receptor 2 	GRM2	2912	0.486	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	Q14831	Metabotropic glutamate receptor 7 	GRM7	2917	0.486	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	Q14832	Metabotropic glutamate receptor 3 	GRM3	2913	0.486	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	Q14833	Metabotropic glutamate receptor 4 	GRM4	2914	0.486	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	P41180	Extracellular calcium-sensing receptor 	CASR	846	0.473	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	Q5T6X5	G-protein coupled receptor family C group 6 member A 	GPRC6A	222545	0.433	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	Q7RTX0	Taste receptor type 1 member 3 	TAS1R3	83756	0.433	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	Q7RTX1	Taste receptor type 1 member 1 	TAS1R1	80835	0.433	STITCH
19	JNJ-16259685	CHEMBL254574	11313361	Q8TE23	Taste receptor type 1 member 2 	TAS1R2	80834	0.433	STITCH
20	VU-0415374-1	CHEMBL1672234	46869940	Q14833	Metabotropic glutamate receptor 4 	GRM4	2914	0.7	STITCH
20	VU-0415374-1	CHEMBL1672234	46869940	O00222	Metabotropic glutamate receptor 8 	GRM8	2918	0.428	STITCH
20	VU-0415374-1	CHEMBL1672234	46869940	Q14831	Metabotropic glutamate receptor 7 	GRM7	2917	0.428	STITCH
21	SCH-23390	CHEMBL62	5018	P21728	Dopamine D1 receptor	DRD1	1812	0.991	STITCH
21	SCH-23390	CHEMBL62	5018	P21918	Dopamine D5 receptor	DRD5	1816	0.98	STITCH
21	SCH-23390	CHEMBL62	5018	P0DMS9	Transmembrane domain-containing protein TMIGD3	TMIGD3	57413	0.851	STITCH
21	SCH-23390	CHEMBL62	5018	P28223	5-hydroxytryptamine receptor 2A 	HTR2A	3356	0.8	STITCH
21	SCH-23390	CHEMBL62	5018	P28335	5-hydroxytryptamine receptor 2C 	HTR2C	3358	0.78	STITCH
21	SCH-23390	CHEMBL62	5018	P41595	5-hydroxytryptamine receptor 2B 	HTR2B	3357	0.724	STITCH
21	SCH-23390	CHEMBL62	5018	O95622	Adenylate cyclase type 5 	ADCY5	111	0.695	STITCH
21	SCH-23390	CHEMBL62	5018	P14416	Dopamine D2 receptor	DRD2	1813	0.685	STITCH
21	SCH-23390	CHEMBL62	5018	P08908	5-hydroxytryptamine receptor 1A 	HTR1A	3350	0.64	STITCH
21	SCH-23390	CHEMBL62	5018	P35462	Dopamine D3 receptor	DRD3	1814	0.57	STITCH
21	SCH-23390	CHEMBL62	5018	P35367	Histamine H1 receptor 	HRH1	3269	0.482	STITCH
21	SCH-23390	CHEMBL62	5018	Q99720	Sigma non-opioid intracellular receptor 1 	SIGMAR1	10280	0.431	STITCH
22	Ezetimibe	CHEMBL1138	150311	P35610	Sterol O-acyltransferase 1	SOAT1	6646	1	DrugBank
22	Ezetimibe	CHEMBL1138	150311	P15144	Aminopeptidase N	ANPEP	290	1	DrugBank
22	Ezetimibe	CHEMBL1138	150311	Q9UHC9	Niemann-Pick C1-like protein 1	NPC1L1	29881	1	DrugBank
22	Ezetimibe	CHEMBL1138	150311	P21554	Cannabinoid receptor 1 	CNR1	1268	0.411	STITCH
23	Brompheniramine	CHEMBL811	6834	P08172	Muscarinic acetylcholine receptor M2	CHRM2	1129	1	DrugBank
23	Brompheniramine	CHEMBL811	6834	P08173	Muscarinic acetylcholine receptor M4	CHRM4	1132	1	DrugBank
23	Brompheniramine	CHEMBL811	6834	P08912	Muscarinic acetylcholine receptor M5	CHRM5	1133	1	DrugBank
23	Brompheniramine	CHEMBL811	6834	P11229	Muscarinic acetylcholine receptor M1	CHRM1	1128	1	DrugBank
23	Brompheniramine	CHEMBL811	6834	P20309	Muscarinic acetylcholine receptor M3	CHRM3	1131	1	DrugBank
23	Brompheniramine	CHEMBL811	6834	P35367	Histamine H1 receptor	HRH1	3269	1	DrugBank
23	Brompheniramine	CHEMBL811	6834	P31645	Sodium-dependent serotonin transporter 	SLC6A4	6532	0.448	STITCH
24	Desipramine	CHEMBL72	2995	P18825	Alpha-2C adrenergic receptor	ADRA2C	152	1	DrugBank
24	Desipramine	CHEMBL72	2995	P35348	Alpha-1A adrenergic receptor	ADRA1A	148	1	DrugBank
24	Desipramine	CHEMBL72	2995	P35367	Histamine H1 receptor	HRH1	3269	1	DrugBank
24	Desipramine	CHEMBL72	2995	P31645	Sodium-dependent serotonin transporter	SLC6A4	6532	1	DrugBank
24	Desipramine	CHEMBL72	2995	P08173	Muscarinic acetylcholine receptor M4	CHRM4	1132	1	DrugBank
24	Desipramine	CHEMBL72	2995	P08912	Muscarinic acetylcholine receptor M5	CHRM5	1133	1	DrugBank
24	Desipramine	CHEMBL72	2995	P18089	Alpha-2B adrenergic receptor	ADRA2B	151	1	DrugBank
24	Desipramine	CHEMBL72	2995	P11229	Muscarinic acetylcholine receptor M1	CHRM1	1128	1	DrugBank
24	Desipramine	CHEMBL72	2995	P28335	5-hydroxytryptamine receptor 2C	HTR2C	3358	1	DrugBank
24	Desipramine	CHEMBL72	2995	P14416	D(2) dopamine receptor	DRD2	1813	1	DrugBank
24	Desipramine	CHEMBL72	2995	P07550	Beta-2 adrenergic receptor	ADRB2	154	1	DrugBank
24	Desipramine	CHEMBL72	2995	P23975	Sodium-dependent noradrenaline transporter	SLC6A2	6530	1	DrugBank
24	Desipramine	CHEMBL72	2995	P17405	Sphingomyelin phosphodiesterase	SMPD1	6609	1	DrugBank
24	Desipramine	CHEMBL72	2995	P08172	Muscarinic acetylcholine receptor M2	CHRM2	1129	1	DrugBank
24	Desipramine	CHEMBL72	2995	P35368	Alpha-1B adrenergic receptor	ADRA1B	147	1	DrugBank
24	Desipramine	CHEMBL72	2995	P08588	Beta-1 adrenergic receptor	ADRB1	153	1	DrugBank
24	Desipramine	CHEMBL72	2995	P25100	Alpha-1D adrenergic receptor	ADRA1D	146	1	DrugBank
